address,amount
0x45667886d1fef8188f0F7d8cf627ce7b969A4CB7,370.5721409
0xcc4607881DE9171543D81944E1A8E4DdA229B4AD,350.4659803
0x7aA0705e14454168E97A5B4DF94E15011C095d3f,331.7211352
0xD6146e9F3Cf4A228CD37995b10BF337a92832Cb2,322.3487126
0x8e8A124C96ee7EC350F4bB5B7a2d627E8afB9615,275.4865997
0x093Fc613713f08013a67dEd6ee16239792982799,252.1602235
0x1BFd1f858909A800EdC864a9F9b2BE85C0f0B37a,248.6259669
0xb17160DA969f25a60f388AcD934123719DE6E45E,236.0188486
0x844b9100d170fe35e4Dd7692e36475E824946e98,228.5618624
0x69E0E2b3d523D3b247d798a49C3fa022a46DD6bd,227.4178113
0x2833eEF865e0a0a3e704EB55667B99ee245a0012,224.938142
0xa4FDB0B8Bb943BaAF996C88735cfB1Fb29B537A4,220.8744191
0x87FCc827AA63274d37205EAD0BB955F590d9374e,211.8692744
0x940cD784aA24Bf6d1462D58BaD1A34FBf7cAed88,210.8795081
0x6e024045BEE0F366F9e926D5A99233aD54dd43EF,210.777846
0x0DD9E96189250549f76f5A52F20Ff6C28113d438,207.4499319
0xA8E89710Ba38B72300953D32264609Fc7bfa0798,206.0309717
0x068423CdA40Ac8C4ba2E8196EEeeA080AF758fB2,197.8861922
0x05068D6ddc7B104412Ae572658792d0dD16506b9,184.160106
0x05bdd8de3AAcE83C896796eCBe1342Ad43315963,177.2480244
0x9B577e40b1B1C621a0423d3ec2965AbF5d662472,177.1703748
0x3358AD4F4463EEDAC591f7eE2aFef31cD5e32239,172.3899512
0x068dE19cE0b8f2CbaBD943417F27e777cC0972C4,169.602945
0x9b2F7F2933a242A61e80eD6cFeA21Bf2Ad301a2a,169.4366044
0x064A2c1a3dEC080C4CBfaCec89e24C3b68317924,161.714436
0x043AC44F8Cec7e359A31415f1e54459A8c2599a0,161.0092571
0x0467D08dd828C9eA1d20F795db71CdC9AB8D4EcC,158.9860279
0xa069De1c5A6473120aA38Aa11F954fBB1C1Da56F,155.9070491
0xA75785B05D005532113fD475FB49687041f22013,155.2940702
0x03C48f581C9017263d9eDB10f46d315E449a658e,154.1810305
0x058e4E9cC34F2cBC5137bb79bB215214e3E9Eb4A,153.8259269
0x05185f1ca440f15c5bf9a9b9bef99e456aa511ff,149.8816724
0x02b83B235f20830475879A9fD391764c4c28627B,147.001363
0x4655D13Ed832fE463c80D6BF5ABceeFEf8722b64,146.966768
0x0449Dc1242f6540BC25b71d6d6727414cEd01D0C,146.4966551
0xAd3056336052De67B2dbD4f97eb1A24ED4A71ce1,144.2726835
0x04AA5a3f47348d1eE2A18Adda874dA554180BbC2,141.9931633
0x3A91d1D85f7B407251688E599a2C488b2f4c9a3E,141.9619856
0x0496b95d73cd82c1f8b9f95e4bc54e88906f96e1,138.0489088
0x4c1A5C336d44fA9681821fc9Ba56025926c8527b,135.9001275
0x40cd376be8EE0EEb1Ee2b5049F43C5c24A5adD75,135.9001275
0x36D023d3Bb82b3ee3BCa30701f2C61329572b688,133.0584089
0x0220B62E0080425B8DB90B9EFb3548D5FCD5899F,132.6407785
0xC4110d80D8fEe4702d92fd2Fe4a8770F3d55268e,132.1164521
0x2A1A4FeeffA7353783948448019a54C142A24393,128.61881
0x9D8eD6aaB57BdafC6BA6c2766e85816914A155E5,127.0334242
0x31C744c0687D70559Ea74D8Beed9e6Eec31Bb523,126.5277049
0x03eEbE3fb8257f83Cc363396794a48Fe5B879a26,122.6422983
0x0438BE346bD6ba19a4E077e62dfaD600A81DAB96,122.2718906
0x5034013E056e7DB20DcfBc1556385415E9B01B0c,121.7979474
0x007e652AEf046B1179989069E47C57D6796DC5D5,121.4152489
0xFd26Eb1DCC90D194C324922CF5471afEC8F97ccE,120.7111157
0x03e58b4d10fd74c542fda0bf6637b15523077400,118.0697263
0xd54417ecfb242D9272ff96CDA12A53ff6963ddDb,117.1198032
0xff636fe8A09378CD8e7791205CB65b27B6fB635b,115.1110699
0x75d3D396Ff9E228fd30A0cEfcd2126E7cd7aA7e7,114.6223263
0xd784847c4376FFCc9A1a5A90F05f1c1401A66984,114.4329251
0xc086342EbD2a7130966CdF8cD949c15cCcbA8616,114.4232589
0x3489Ea5aab1697deF0E126a9d41194dAf4329D0c,112.4934873
0x03b1902eD4062b65973C33E9700C8E3a10F3CF50,111.5214126
0x5452729FBF055dEcd46FEb9BD25D21B50A1F14D4,111.4692044
0xe74F9211016AF21AD247973C371f0CfC2F5a7D5B,111.3312956
